kennung,bereich,koordinatensystem,qualitaet,wkt
E16,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((239 808, 274 787, 253 749, 219 770, 239 808))"
E15,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((282 781, 313 763, 292 726, 264 743, 282 781))"
E9,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((318 759, 342 745, 321 707, 299 722, 318 759))"
E8,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((349 740, 373 726, 352 687, 329 703, 349 740))"
E6,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((380 720, 408 703, 385 666, 361 681, 380 720))"
E3,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((414 699, 438 684, 417 645, 393 660, 414 699))"
E4,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((446 678, 466 667, 445 628, 425 642, 446 678))"
E18,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((216 764, 250 743, 230 707, 196 727, 216 764))"
E17,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((259 739, 288 721, 268 683, 239 702, 259 739))"
E11,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((296 716, 318 702, 299 665, 277 678, 296 716))"
E10,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((325 698, 348 684, 328 645, 307 660, 325 698))"
E5,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((357 677, 381 663, 361 625, 336 640, 357 677))"
E2,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((388 656, 413 642, 392 604, 370 619, 388 656))"
E1,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((421 637, 440 624, 421 588, 400 601, 421 637))"
E20,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((193 722, 227 702, 210 668, 175 688, 193 722))"
E19,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((234 697, 264 679, 247 646, 219 662, 234 697))"
E13,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((273 674, 295 660, 277 626, 254 642, 273 674))"
E12,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((303 654, 324 641, 307 611, 284 623, 303 654))"
E7,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((332 636, 355 621, 340 592, 314 606, 332 636))"
E2a,Erweiterung,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((363 615, 387 602, 374 577, 347 588, 363 615))"
98,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((218 632, 247 639, 270 625, 218 625, 218 632))"
97,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((207 638, 213 638, 212 623, 200 623, 207 638))"
93,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((205 616, 211 616, 211 569, 180 569, 205 616))"
94,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 615, 280 615, 280 569, 219 569, 219 615))"
95,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 611, 329 592, 329 569, 289 569, 289 611))"
96,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((339 596, 374 579, 373 569, 339 569, 339 596))"
87,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((177 562, 210 562, 210 515, 155 515, 177 562))"
88,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((219 561, 281 561, 281 515, 219 515, 219 561))"
89,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((289 561, 330 561, 330 515, 289 515, 289 561))"
90,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((340 561, 372 561, 372 515, 340 515, 340 561))"
91,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((382 561, 409 561, 409 515, 382 515, 382 561))"
R3,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((418 561, 439 561, 439 515, 418 515, 418 561))"
R2,Hauptfeld,"lokale Bildkoordinaten, Pixel, Y nach oben",schematisch nachgezeichnet,"POLYGON ((446 549, 521 516, 446 516, 446 549))"
